,year,month,adm_code,so2
0,2013,1,513200,198.2907268170426
1,2013,1,652900,239.75072463768117
3,2013,1,152900,611.7427336999215
4,2013,1,654300,368.6023054755043
5,2013,1,542500,132.2231786043652
6,2013,1,610900,494.8977777777778
7,2013,1,340800,442.31007751937983
8,2013,1,520400,460.4767441860465
9,2013,1,410500,965.3013698630137
10,2013,1,210300,892.1041666666666
11,2013,1,150800,593.9799426934097
12,2013,1,652800,174.14704692556634
13,2013,1,511900,405.4824561403509
14,2013,1,220800,333.3164983164983
16,2013,1,220600,589.7
17,2013,1,620400,552.6683417085427
18,2013,1,451000,265.92767295597486
19,2013,1,340300,472.728813559322
20,2013,1,150200,820.8794788273616
21,2013,1,610300,622.2295081967213
22,2013,1,130600,1217.9257641921397
23,2013,1,530500,200.95833333333334
25,2013,1,450500,193.92
26,2013,1,110000,723.3620689655172
28,2013,1,210500,641.2222222222222
29,2013,1,520500,478.31451612903226
30,2013,1,371600,1337.1473684210525
31,2013,1,341600,610.8641975308642
32,2013,1,652700,260.6240875912409
33,2013,1,130900,1157.5588235294117
34,2013,1,540300,99.18015414258188
35,2013,1,652300,390.4
37,2013,1,430700,429.4491017964072
38,2013,1,320400,479.9
39,2013,1,211300,836.2018779342723
40,2013,1,445100,172.92307692307693
41,2013,1,431000,345.36206896551727
42,2013,1,510100,358.05185185185184
43,2013,1,130800,732.440281030445
45,2013,1,341700,362.3076923076923
46,2013,1,150400,795.7755741127348
47,2013,1,451400,226.6516129032258
48,2013,1,341100,417.8984375
49,2013,1,532300,345.1945525291829
50,2013,1,511700,427.49056603773585
51,2013,1,532900,210.60474308300394
52,2013,1,210200,733.104347826087
53,2013,1,230600,403.39043824701196
54,2013,1,140200,844.0
55,2013,1,232700,212.20093457943926
56,2013,1,210600,663.5974025974026
57,2013,1,460400,79.62068965517241
58,2013,1,533100,169.52475247524754
59,2013,1,510600,326.05357142857144
60,2013,1,371400,1291.517543859649
61,2013,1,533400,101.97209302325581
63,2013,1,621100,425.6648936170213
65,2013,1,441900,252.2608695652174
66,2013,1,370500,1063.5735294117646
67,2013,1,150600,698.566703417861
68,2013,1,420700,574.0666666666667
69,2013,1,422800,308.6637168141593
70,2013,1,450600,204.25
71,2013,1,440600,326.02941176470586
72,2013,1,350100,136.96907216494844
73,2013,1,210400,543.5702479338843
74,2013,1,361000,298.375
75,2013,1,210900,574.3983050847457
76,2013,1,341200,580.1414141414141
77,2013,1,623000,268.98342541436466
78,2013,1,513300,133.09745762711864
79,2013,1,360700,262.4273504273504
80,2013,1,640400,463.0095238095238
81,2013,1,511600,449.6393442622951
82,2013,1,510800,359.9367088607595
83,2013,1,440100,251.27586206896552
84,2013,1,450800,303.7340425531915
85,2013,1,520100,557.5
86,2013,1,450300,324.630081300813
87,2013,1,632600,195.68457300275483
88,2013,1,230100,402.33660130718954
89,2013,1,650500,292.53536021150035
90,2013,1,632200,382.243553008596
91,2013,1,630200,601.953125
92,2013,1,460100,74.1
93,2013,1,632500,235.84054669703872
94,2013,1,632800,179.37066402378593
95,2013,1,130400,1340.0806451612902
96,2013,1,610700,477.9230769230769
97,2013,1,330100,312.8471337579618
98,2013,1,340100,368.3333333333333
99,2013,1,653200,187.1878739529318
100,2013,1,451200,273.85135135135135
101,2013,1,441600,204.60283687943263
102,2013,1,371700,958.563025210084
103,2013,1,451100,284.0857142857143
104,2013,1,410600,929.9
105,2013,1,230400,198.7909604519774
106,2013,1,231100,228.3037667071689
107,2013,1,131100,1328.3
108,2013,1,430400,444.0642857142857
109,2013,1,532500,233.0766550522648
110,2013,1,150100,1027.5
111,2013,1,150700,257.4612698412698
113,2013,1,211400,849.3106796116505
114,2013,1,330500,391.3090909090909
115,2013,1,431200,377.204
116,2013,1,320800,450.83838383838383
117,2013,1,340600,588.4642857142857
118,2013,1,340400,444.62264150943395
119,2013,1,421100,481.00613496932516
120,2013,1,632300,270.73446327683615
121,2013,1,341000,275.34444444444443
122,2013,1,420200,491.07142857142856
123,2013,1,441300,205.23157894736843
124,2013,1,230300,326.0078125
125,2013,1,360800,322.23706896551727
126,2013,1,220200,453.18064516129033
127,2013,1,370100,1734.2673267326732
128,2013,1,370800,1157.1363636363637
130,2013,1,230800,236.25129533678756
131,2013,1,330400,469.2972972972973
132,2013,1,620200,479.2142857142857
133,2013,1,440700,275.2105263157895
134,2013,1,410800,981.0487804878048
135,2013,1,445200,195.1086956521739
136,2013,1,620300,834.2179487179487
137,2013,1,330700,381.63
138,2013,1,210700,710.5510204081633
139,2013,1,140500,849.5111111111111
140,2013,1,140700,1238.644578313253
141,2013,1,420800,634.1666666666666
142,2013,1,421000,587.4545454545455
143,2013,1,360200,332.7
144,2013,1,360400,450.60893854748605
145,2013,1,620900,335.0455824423185
146,2013,1,653100,230.21257750221434
147,2013,1,410200,743.2881355932203
149,2013,1,650200,168.7471264367816
150,2013,1,653000,211.4917355371901
151,2013,1,530100,310.4427083333333
153,2013,1,540100,126.16058394160584
154,2013,1,451300,298.0593220338983
155,2013,1,620100,569.9774436090225
156,2013,1,131000,1079.910447761194
158,2013,1,511100,338.33898305084745
159,2013,1,530700,245.73513513513512
160,2013,1,331100,267.937106918239
161,2013,1,320700,569.1285714285714
162,2013,1,513400,250.37614678899084
163,2013,1,211000,1129.1568627450981
164,2013,1,220400,529.2456140350877
165,2013,1,371500,1176.4883720930231
166,2013,1,540400,89.71643192488263
167,2013,1,530900,209.23696682464455
168,2013,1,141000,771.2634146341463
170,2013,1,622900,516.3536585365854
171,2013,1,371300,1091.9766081871346
173,2013,1,450200,292.2848484848485
174,2013,1,341500,429.48275862068965
175,2013,1,520200,427.01149425287355
176,2013,1,350800,192.1169590643275
177,2013,1,621200,390.8955223880597
178,2013,1,431300,473.4415584415584
179,2013,1,510500,474.99122807017545
180,2013,1,410300,788.5194805194806
181,2013,1,411100,756.3076923076923
182,2013,1,141100,748.3598130841121
183,2013,1,340500,407.86842105263156
184,2013,1,440900,264.6145833333333
185,2013,1,511400,353.65625
186,2013,1,441400,181.13669064748203
187,2013,1,510700,314.78534031413614
188,2013,1,231000,389.3692660550459
189,2013,1,540600,129.4883583849101
190,2013,1,360100,535.4328358208955
191,2013,1,511300,376.8666666666667
192,2013,1,320100,464.3015873015873
193,2013,1,450100,263.7113402061856
194,2013,1,350700,251.45833333333334
195,2013,1,320600,346.56962025316454
196,2013,1,411300,702.4545454545455
197,2013,1,511000,411.0
198,2013,1,330200,348.873417721519
199,2013,1,350900,163.22429906542055
200,2013,1,533300,99.40458015267176
201,2013,1,510400,465.2916666666667
202,2013,1,211100,777.5526315789474
203,2013,1,410400,761.3636363636364
204,2013,1,620800,574.4579439252336
205,2013,1,360300,374.8378378378378
206,2013,1,350300,117.15625
207,2013,1,410900,1018.3953488372093
208,2013,1,530800,219.48969072164948
209,2013,1,230900,241.2741935483871
210,2013,1,230200,319.5009940357853
212,2013,1,522600,332.9047619047619
213,2013,1,522700,383.71666666666664
214,2013,1,522300,339.7266666666667
215,2013,1,450700,250.08695652173913
216,2013,1,130300,878.7179487179487
217,2013,1,370200,844.242718446602
218,2013,1,441800,345.8165680473373
219,2013,1,621000,555.6789667896679
222,2013,1,530300,339.96138996138995
223,2013,1,330800,297.54430379746833
224,2013,1,350500,145.7391304347826
225,2013,1,540200,114.41885441527447
226,2013,1,371100,896.5192307692307
227,2013,1,411200,843.4148936170212
228,2013,1,350400,216.74519230769232
229,2013,1,460200,79.6875
230,2013,1,350200,176.0
231,2013,1,540500,102.67862068965518
232,2013,1,440500,200.0
233,2013,1,441500,163.12820512820514
234,2013,1,611000,674.4607329842931
235,2013,1,411400,755.4285714285714
236,2013,1,310000,365.26229508196724
237,2013,1,361100,339.29665071770336
238,2013,1,440200,320.8922155688623
239,2013,1,430500,418.9144385026738
240,2013,1,330600,427.78205128205127
241,2013,1,440300,188.6153846153846
243,2013,1,210100,1101.9855072463768
244,2013,1,420300,477.70742358078604
246,2013,1,130100,1713.1292517006802
247,2013,1,640200,1333.340909090909
249,2013,1,230500,287.9467680608365
250,2013,1,140600,755.7818181818182
251,2013,1,220300,532.0540540540541
252,2013,1,220700,485.69166666666666
253,2013,1,320500,457.6625
254,2013,1,321300,504.6941176470588
255,2013,1,341300,586.4444444444445
256,2013,1,231200,367.9150485436893
257,2013,1,421300,570.2417582417582
258,2013,1,510900,397.52941176470586
